"itemsTagged","street","rubbishType","day","city","state","lat","long","date","time","is_litter"
1,"Broadway St","paper","Wed","Redwood City","CA","37.4864672","-122.2299681",2020-02-12,2020-02-12 20:19:11,1
1,"Broadway St","paper","Wed","Redwood City","CA","37.48647553","-122.2299664",2020-02-12,2020-02-12 20:19:08,1
1,"Broadway St","paper","Wed","Redwood City","CA","37.48646903","-122.2299548",2020-02-12,2020-02-12 20:18:31,1
1,"Broadway St","tobacco","Wed","Redwood City","CA","37.48648243","-122.2299171",2020-02-12,2020-02-12 20:18:23,1
1,"Broadway St","tobacco","Wed","Redwood City","CA","37.48648904","-122.2299383",2020-02-12,2020-02-12 20:18:05,1
1,"Broadway St","unknown","Wed","Redwood City","CA","37.48657988","-122.2300349",2020-02-12,2020-02-12 20:17:25,1
1,"Broadway St","unknown","Wed","Redwood City","CA","37.48656312","-122.230006",2020-02-12,2020-02-12 20:17:13,1
1,"Broadway St","paper","Wed","Redwood City","CA","37.48662104","-122.2298522",2020-02-12,2020-02-12 20:16:29,1
1,"Broadway St","paper","Wed","Redwood City","CA","37.4866289","-122.2300336",2020-02-12,2020-02-12 20:15:18,1
1,"Broadway St","paper","Wed","Redwood City","CA","37.48667046","-122.2300468",2020-02-12,2020-02-12 20:15:15,1
1,"Broadway St","tobacco","Wed","Redwood City","CA","37.48673719","-122.2300771",2020-02-12,2020-02-12 20:15:03,1
1,"Broadway St","paper","Wed","Redwood City","CA","37.48667849","-122.2301823",2020-02-12,2020-02-12 20:14:11,1
1,"Hamilton St","unknown","Wed","Redwood City","CA","37.48667866","-122.2301414",2020-02-12,2020-02-12 20:14:08,1
1,"Hamilton St","tobacco","Wed","Redwood City","CA","37.48665727","-122.2301273",2020-02-12,2020-02-12 20:14:01,1
1,"Broadway St","unknown","Wed","Redwood City","CA","37.48665636","-122.2301826",2020-02-12,2020-02-12 20:13:55,1
1,"Broadway St","unknown","Wed","Redwood City","CA","37.48667323","-122.2302276",2020-02-12,2020-02-12 20:13:48,1
1,"Broadway St","paper","Wed","Redwood City","CA","37.48668368","-122.2302033",2020-02-12,2020-02-12 20:13:45,1
1,"Hamilton St","plastic","Wed","Redwood City","CA","37.48673906","-122.2301705",2020-02-12,2020-02-12 20:13:38,1
1,"Hamilton St","paper","Wed","Redwood City","CA","37.48674883","-122.2301574",2020-02-12,2020-02-12 20:13:34,1
1,"Hamilton St","plastic","Wed","Redwood City","CA","37.48675219","-122.2301294",2020-02-12,2020-02-12 20:13:31,1
1,"Broadway St","plastic","Wed","Redwood City","CA","37.48676522","-122.2301147",2020-02-12,2020-02-12 20:13:27,1
1,"Broadway St","plastic","Wed","Redwood City","CA","37.48677491","-122.2301186",2020-02-12,2020-02-12 20:13:25,1
1,"Broadway St","paper","Wed","Redwood City","CA","37.48681092","-122.2300608",2020-02-12,2020-02-12 20:13:19,1
1,"Broadway St","plastic","Wed","Redwood City","CA","37.48682549","-122.2300484",2020-02-12,2020-02-12 20:13:13,1
1,"Broadway St","paper","Wed","Redwood City","CA","37.48688871","-122.2300548",2020-02-12,2020-02-12 20:13:00,1
1,"Broadway St","paper","Wed","Redwood City","CA","37.48691144","-122.2300708",2020-02-12,2020-02-12 20:12:58,1
1,"Broadway St","paper","Wed","Redwood City","CA","37.48695092","-122.2300745",2020-02-12,2020-02-12 20:12:55,1
1,"Broadway St","paper","Wed","Redwood City","CA","37.48700955","-122.2300554",2020-02-12,2020-02-12 20:12:46,1
1,"Broadway St","plastic","Wed","Redwood City","CA","37.48702288","-122.2300858",2020-02-12,2020-02-12 20:12:41,1
1,"Broadway St","unknown","Wed","Redwood City","CA","37.48702908","-122.2300878",2020-02-12,2020-02-12 20:12:38,1
1,"Broadway St","paper","Wed","Redwood City","CA","37.48712943","-122.230153",2020-02-12,2020-02-12 20:12:27,1
