"itemsTagged","street","rubbishType","day","city","state","lat","long","date","time","is_litter","cent_id","obj_id","closest_cent","cent_type","distance"
1,"Broadway St","paper","Wed","Redwood City","CA",37.4864672,-122.2299681,"2020-02-12","2020-02-12 20:19:11",1,-1,1,30,"trashCan",11.4609363990416
1,"Broadway St","paper","Wed","Redwood City","CA",37.48647553,-122.2299664,"2020-02-12","2020-02-12 20:19:08",1,-1,2,30,"trashCan",10.7391080114168
1,"Broadway St","paper","Wed","Redwood City","CA",37.48646903,-122.2299548,"2020-02-12","2020-02-12 20:18:31",1,-1,3,30,"trashCan",11.9039269645789
1,"Broadway St","tobacco","Wed","Redwood City","CA",37.48648243,-122.2299171,"2020-02-12","2020-02-12 20:18:23",1,-1,4,30,"trashCan",13.056723683125
1,"Broadway St","tobacco","Wed","Redwood City","CA",37.48648904,-122.2299383,"2020-02-12","2020-02-12 20:18:05",1,-1,5,30,"trashCan",11.164179600565
1,"Broadway St","unknown","Wed","Redwood City","CA",37.48657988,-122.2300349,"2020-02-12","2020-02-12 20:17:25",1,-1,6,30,"trashCan",2.49527659693656
1,"Broadway St","unknown","Wed","Redwood City","CA",37.48656312,-122.230006,"2020-02-12","2020-02-12 20:17:13",1,-1,7,30,"trashCan",2.25847274365536
1,"Broadway St","paper","Wed","Redwood City","CA",37.48662104,-122.2298522,"2020-02-12","2020-02-12 20:16:29",1,-1,8,30,"trashCan",17.2749742082468
1,"Broadway St","paper","Wed","Redwood City","CA",37.4866289,-122.2300336,"2020-02-12","2020-02-12 20:15:18",1,-1,9,29,"recyclingCan",6.26454930263428
1,"Broadway St","paper","Wed","Redwood City","CA",37.48667046,-122.2300468,"2020-02-12","2020-02-12 20:15:15",1,-1,10,29,"recyclingCan",10.8940794657495
1,"Broadway St","tobacco","Wed","Redwood City","CA",37.48673719,-122.2300771,"2020-02-12","2020-02-12 20:15:03",1,-1,11,27,"trashCan",14.8299775246987
1,"Broadway St","paper","Wed","Redwood City","CA",37.48667849,-122.2301823,"2020-02-12","2020-02-12 20:14:11",1,-1,12,29,"recyclingCan",17.3585491088363
1,"Hamilton St","unknown","Wed","Redwood City","CA",37.48667866,-122.2301414,"2020-02-12","2020-02-12 20:14:08",1,-1,13,30,"trashCan",16.6245253533482
1,"Hamilton St","tobacco","Wed","Redwood City","CA",37.48665727,-122.2301273,"2020-02-12","2020-02-12 20:14:01",1,-1,14,30,"trashCan",13.9772316674997
1,"Broadway St","unknown","Wed","Redwood City","CA",37.48665636,-122.2301826,"2020-02-12","2020-02-12 20:13:55",1,-1,15,30,"trashCan",17.3411318426265
1,"Broadway St","unknown","Wed","Redwood City","CA",37.48667323,-122.2302276,"2020-02-12","2020-02-12 20:13:48",1,-1,16,34,"trashCan",21.6002730364058
1,"Broadway St","paper","Wed","Redwood City","CA",37.48668368,-122.2302033,"2020-02-12","2020-02-12 20:13:45",1,-1,17,29,"recyclingCan",19.133289444556
1,"Hamilton St","plastic","Wed","Redwood City","CA",37.48673906,-122.2301705,"2020-02-12","2020-02-12 20:13:38",1,-1,18,26,"recyclingCan",15.1258788977662
