itemsTagged,street,rubbishType,day,serverTimeStamp,city,state,lat,long
1,Broadway St,paper,Wednesday,"2/12/2020, 8:19:11 PM",Redwood City,CA,37.4864672,-122.2299681
1,Broadway St,paper,Wednesday,"2/12/2020, 8:19:08 PM",Redwood City,CA,37.48647553,-122.2299664
1,Broadway St,paper,Wednesday,"2/12/2020, 8:18:31 PM",Redwood City,CA,37.48646903,-122.2299548
1,Broadway St,tobacco,Wednesday,"2/12/2020, 8:18:23 PM",Redwood City,CA,37.48648243,-122.2299171
1,Broadway St,tobacco,Wednesday,"2/12/2020, 8:18:05 PM",Redwood City,CA,37.48648904,-122.2299383
1,Broadway St,other,Wednesday,"2/12/2020, 8:17:25 PM",Redwood City,CA,37.48657988,-122.2300349
1,Broadway St,other,Wednesday,"2/12/2020, 8:17:13 PM",Redwood City,CA,37.48656312,-122.230006
1,Broadway St,paper,Wednesday,"2/12/2020, 8:16:29 PM",Redwood City,CA,37.48662104,-122.2298522
1,Broadway St,paper,Wednesday,"2/12/2020, 8:15:18 PM",Redwood City,CA,37.4866289,-122.2300336
1,Broadway St,paper,Wednesday,"2/12/2020, 8:15:15 PM",Redwood City,CA,37.48667046,-122.2300468
1,Broadway St,tobacco,Wednesday,"2/12/2020, 8:15:03 PM",Redwood City,CA,37.48673719,-122.2300771
1,Broadway St,paper,Wednesday,"2/12/2020, 8:14:11 PM",Redwood City,CA,37.48667849,-122.2301823
1,Hamilton St,other,Wednesday,"2/12/2020, 8:14:08 PM",Redwood City,CA,37.48667866,-122.2301414
1,Hamilton St,tobacco,Wednesday,"2/12/2020, 8:14:01 PM",Redwood City,CA,37.48665727,-122.2301273
1,Broadway St,other,Wednesday,"2/12/2020, 8:13:55 PM",Redwood City,CA,37.48665636,-122.2301826
1,Broadway St,other,Wednesday,"2/12/2020, 8:13:48 PM",Redwood City,CA,37.48667323,-122.2302276
1,Broadway St,paper,Wednesday,"2/12/2020, 8:13:45 PM",Redwood City,CA,37.48668368,-122.2302033
1,Hamilton St,plastic,Wednesday,"2/12/2020, 8:13:38 PM",Redwood City,CA,37.48673906,-122.2301705
1,Hamilton St,paper,Wednesday,"2/12/2020, 8:13:34 PM",Redwood City,CA,37.48674883,-122.2301574
1,Hamilton St,plastic,Wednesday,"2/12/2020, 8:13:31 PM",Redwood City,CA,37.48675219,-122.2301294
1,Broadway St,plastic,Wednesday,"2/12/2020, 8:13:27 PM",Redwood City,CA,37.48676522,-122.2301147
1,Broadway St,plastic,Wednesday,"2/12/2020, 8:13:25 PM",Redwood City,CA,37.48677491,-122.2301186
1,Broadway St,paper,Wednesday,"2/12/2020, 8:13:19 PM",Redwood City,CA,37.48681092,-122.2300608
1,Broadway St,plastic,Wednesday,"2/12/2020, 8:13:13 PM",Redwood City,CA,37.48682549,-122.2300484
1,Broadway St,paper,Wednesday,"2/12/2020, 8:13:00 PM",Redwood City,CA,37.48688871,-122.2300548
1,Broadway St,paper,Wednesday,"2/12/2020, 8:12:58 PM",Redwood City,CA,37.48691144,-122.2300708
1,Broadway St,paper,Wednesday,"2/12/2020, 8:12:55 PM",Redwood City,CA,37.48695092,-122.2300745
1,Broadway St,paper,Wednesday,"2/12/2020, 8:12:46 PM",Redwood City,CA,37.48700955,-122.2300554
1,Broadway St,plastic,Wednesday,"2/12/2020, 8:12:41 PM",Redwood City,CA,37.48702288,-122.2300858
1,Broadway St,other,Wednesday,"2/12/2020, 8:12:38 PM",Redwood City,CA,37.48702908,-122.2300878
1,Broadway St,paper,Wednesday,"2/12/2020, 8:12:27 PM",Redwood City,CA,37.48712943,-122.230153
1,Hamilton St,paper,Wednesday,"2/12/2020, 8:12:24 PM",Redwood City,CA,37.48715069,-122.2301673
1,Broadway St,paper,Wednesday,"2/12/2020, 8:12:15 PM",Redwood City,CA,37.48719895,-122.2300899
1,Hamilton St,paper,Wednesday,"2/12/2020, 8:12:10 PM",Redwood City,CA,37.48722671,-122.2301092
1,Broadway St,other,Wednesday,"2/12/2020, 8:11:57 PM",Redwood City,CA,37.48735199,-122.2301051
1,Middlefield Rd,plastic,Wednesday,"2/12/2020, 8:10:26 PM",Redwood City,CA,37.48709839,-122.2291258
1,Middlefield Rd,plastic,Wednesday,"2/12/2020, 8:10:24 PM",Redwood City,CA,37.48714088,-122.2291133
1,Middlefield Rd,plastic,Wednesday,"2/12/2020, 8:10:14 PM",Redwood City,CA,37.48720729,-122.2291599
1,Middlefield Rd,other,Wednesday,"2/12/2020, 8:10:14 PM",Redwood City,CA,37.4871915,-122.2291787
1,Middlefield Rd,paper,Wednesday,"2/12/2020, 8:10:10 PM",Redwood City,CA,37.48720231,-122.2291554
1,Middlefield Rd,paper,Wednesday,"2/12/2020, 8:10:09 PM",Redwood City,CA,37.48705541,-122.2291998
1,Broadway St,paper,Wednesday,"2/12/2020, 8:10:06 PM",Redwood City,CA,37.48703959,-122.2291857
1,Middlefield Rd,paper,Wednesday,"2/12/2020, 8:09:32 PM",Redwood City,CA,37.48699393,-122.229165
1,Middlefield Rd,paper,Wednesday,"2/12/2020, 8:09:25 PM",Redwood City,CA,37.48697617,-122.2291741
1,Broadway St,paper,Wednesday,"2/12/2020, 8:09:23 PM",Redwood City,CA,37.48697483,-122.2291752
1,Broadway St,paper,Wednesday,"2/12/2020, 8:09:22 PM",Redwood City,CA,37.48696481,-122.2292023
1,Broadway St,plastic,Wednesday,"2/12/2020, 8:09:20 PM",Redwood City,CA,37.48695402,-122.2292122
1,Broadway St,paper,Wednesday,"2/12/2020, 8:09:10 PM",Redwood City,CA,37.48692331,-122.2292184
1,Broadway St,paper,Wednesday,"2/12/2020, 8:09:04 PM",Redwood City,CA,37.4869103,-122.2292445
1,Broadway St,tobacco,Wednesday,"2/12/2020, 8:08:46 PM",Redwood City,CA,37.48686384,-122.2292187
1,Broadway St,paper,Wednesday,"2/12/2020, 8:08:43 PM",Redwood City,CA,37.48685786,-122.229213
1,Middlefield Rd,paper,Wednesday,"2/12/2020, 8:08:40 PM",Redwood City,CA,37.48684436,-122.2292059
1,Middlefield Rd,other,Wednesday,"2/12/2020, 8:08:30 PM",Redwood City,CA,37.48677107,-122.2291999
1,Middlefield Rd,paper,Wednesday,"2/12/2020, 8:08:27 PM",Redwood City,CA,37.48677557,-122.2291862
1,Middlefield Rd,other,Wednesday,"2/12/2020, 8:08:24 PM",Redwood City,CA,37.48677728,-122.2291713
1,Middlefield Rd,plastic,Wednesday,"2/12/2020, 8:08:22 PM",Redwood City,CA,37.48677899,-122.2291562
1,Middlefield Rd,paper,Wednesday,"2/12/2020, 8:08:16 PM",Redwood City,CA,37.48675531,-122.2291415
1,Middlefield Rd,other,Wednesday,"2/12/2020, 8:08:09 PM",Redwood City,CA,37.48673707,-122.2291852
1,Middlefield Rd,paper,Wednesday,"2/12/2020, 8:08:02 PM",Redwood City,CA,37.48670657,-122.2291892
1,Middlefield Rd,paper,Wednesday,"2/12/2020, 8:07:59 PM",Redwood City,CA,37.48669998,-122.2291718
1,Middlefield Rd,paper,Wednesday,"2/12/2020, 8:07:54 PM",Redwood City,CA,37.48669657,-122.2291464
1,Middlefield Rd,other,Wednesday,"2/12/2020, 8:07:43 PM",Redwood City,CA,37.48664258,-122.229205
1,Broadway St,other,Wednesday,"2/12/2020, 8:07:39 PM",Redwood City,CA,37.48664157,-122.2292116
1,Broadway St,plastic,Wednesday,"2/12/2020, 8:07:37 PM",Redwood City,CA,37.4866388,-122.2292098
1,Broadway St,other,Wednesday,"2/12/2020, 8:07:36 PM",Redwood City,CA,37.48664209,-122.2292087
1,Middlefield Rd,paper,Wednesday,"2/12/2020, 8:07:23 PM",Redwood City,CA,37.48658284,-122.2292053
1,Middlefield Rd,plastic,Wednesday,"2/12/2020, 8:07:21 PM",Redwood City,CA,37.48658384,-122.2292031
1,Broadway St,paper,Wednesday,"2/12/2020, 8:07:19 PM",Redwood City,CA,37.48658658,-122.2292162
1,Middlefield Rd,paper,Wednesday,"2/12/2020, 8:07:16 PM",Redwood City,CA,37.48657749,-122.2291936
1,Middlefield Rd,paper,Wednesday,"2/12/2020, 8:07:07 PM",Redwood City,CA,37.4865386,-122.2291343
1,Broadway St,tobacco,Wednesday,"2/12/2020, 8:07:00 PM",Redwood City,CA,37.4865292,-122.2290962
1,Broadway St,tobacco,Wednesday,"2/12/2020, 8:06:58 PM",Redwood City,CA,37.48654506,-122.2290765
1,Broadway St,other,Wednesday,"2/12/2020, 8:06:39 PM",Redwood City,CA,37.48653386,-122.2289367
1,Broadway St,other,Wednesday,"2/12/2020, 8:06:34 PM",Redwood City,CA,37.48653871,-122.2289508
1,Broadway St,other,Wednesday,"2/12/2020, 8:06:29 PM",Redwood City,CA,37.4865415,-122.2289934
1,Broadway St,paper,Wednesday,"2/12/2020, 8:06:25 PM",Redwood City,CA,37.48654986,-122.229024
